17
0,0.40,0.40,0.40,0.0,0.0,0.0,0.5,0.5,0,0.0,1.0,0.0,7.0,floor plane
0,1.00,1.00,1.00,0.0,0.0,0.0,0.5,0.5,0,0.0,-1.0,0.0,7.0,top plane
0,1.00,0.60,0.60,0.0,0.0,0.0,0.5,0.5,0,1.0,0.0,0.0,9.0,left wall
0,0.70,0.60,1.00,0.0,0.0,0.0,0.5,0.5,0,-1.0,0.0,0.0,9.0,right wall
0,0.50,0.50,0.50,0.0,0.0,0.0,0.5,0.5,0,0.0,0.0,-1.0,50.0,back wall
0,0.30,0.30,0.30,0.0,0.0,0.0,0.1,0.1,0,0.0,0.0,1.0,50.0,front wall
1,0.85,0.85,0.85,0.0,0.0,0.0,0.0,1.8,1,0.0,6.5,22.0,0.35,light source center
1,0.85,0.85,0.85,0.0,0.0,0.0,0.0,1.8,1,-3.0,6.5,22.0,0.35,light source right
1,0.85,0.85,0.85,0.0,0.0,0.0,0.0,1.8,1,3.0,6.5,22.0,0.35,light source left
1,1.15,0.35,0.35,0.0,0.0,0.0,0.0,0.0,1,-5.8,-6.65,31.0,0.35,light source ground back
1,0.08,0.08,0.08,0.2,1.0,1.4,0.0,0.0,0,3.4,-4.5,23.0,2.5,big sphere refrac
1,0.07,0.17,0.07,0.1,1.0,1.2,0.0,0.0,0,-0.7,-6.0,27.0,1.0,small sphere 5
1,1.00,1.00,1.00,0.8,0.0,0.0,0.0,0.0,0,-3.4,-4.5,29.0,2.5,big sphere reflec
1,1.50,0.70,0.70,0.1,0.0,0.0,0.2,0.2,0,0.5,-5.45,29.0,1.5,small sphere 2
1,0.70,0.70,1.70,0.2,0.0,0.0,0.2,0.2,0,-6.0,-5.45,32.0,1.5,small sphere 3
1,0.07,0.17,0.07,0.3,1.0,1.2,0.2,0.8,0,-6.7,-6.0,29.0,1.0,small sphere 4
1,0.08,0.08,0.08,0.7,1.0,1.3,0.8,0.0,0,6.4,-6.0,18.0,1.0,small sphere 6
